Detectado,Acuracia
person, 0.9195
person, 0.9988
dog, 0.7621
person, 0.9982
dog, 0.6092
person, 0.9992
dog, 0.5303
person, 0.9993
person, 0.9994
dog, 0.9415
person, 0.9988
dog, 0.9404
person, 0.9995
dog, 0.7811
person, 0.9993
person, 0.9989
person, 0.9994
dog, 0.6751
person, 0.9995
person, 0.9988
dog, 0.9597
person, 0.9993
dog, 0.6497
person, 0.9993
tie, 0.8527
dog, 0.7601
person, 0.9995
dog, 0.8539
person, 0.9994
person, 0.9995
tie, 0.7027
dog, 0.6644
person, 0.9994
dog, 0.8555
tie, 0.6958
person, 0.9993
dog, 0.8983
person, 0.9996
dog, 0.8232
tie, 0.5655
person, 0.9991
person, 0.9994
dog, 0.8069
person, 0.9993
dog, 0.7745
person, 0.9992
dog, 0.8423
person, 0.9989
dog, 0.7309
person, 0.9995
person, 0.9991
dog, 0.7620
person, 0.9992
dog, 0.6323
person, 0.9993
dog, 0.5528
person, 0.9989
dog, 0.8011
person, 0.9983
dog, 0.6000
person, 0.9988
dog, 0.8064
person, 0.9991
dog, 0.5608
person, 0.9985
dog, 0.9465
person, 0.9944
dog, 0.6615
person, 0.9979
person, 0.9990
dog, 0.8477
person, 0.9988
person, 0.9987
dog, 0.8926
person, 0.9981
dog, 0.7249
person, 0.9988
dog, 0.7572
person, 0.9917
dog, 0.8119
person, 0.9913
dog, 0.8548
person, 0.9903
dog, 0.8394
person, 0.9982
person, 0.9993
person, 0.9926
person, 0.9988
dog, 0.9669
person, 0.9985
person, 0.9992
dog, 0.6767
person, 0.9998
person, 0.9998
person, 0.9996
person, 0.9998
person, 0.9998
dog, 0.7874
person, 0.9998
person, 0.9996
dog, 0.7562
